Date, Time, Bytes
2017-11-29, 00:07:50.000000000, 209761502
2017-11-29, 00:33:38.000000000, 209714861
2017-11-29, 00:59:58.000000000, 209736962
2017-11-29, 01:26:00.000000000, 209766274
2017-11-29, 01:52:36.000000000, 209709706
2017-11-29, 02:23:42.000000000, 209701929
2017-11-29, 02:55:16.000000000, 209706151
2017-11-29, 03:26:43.000000000, 209700341
2017-11-29, 03:57:00.000000000, 209687384
2017-11-29, 04:26:10.000000000, 209694026
2017-11-29, 04:55:35.000000000, 209705474
2017-11-29, 05:24:26.000000000, 209700415
2017-11-29, 05:53:12.000000000, 209718112
2017-11-29, 06:22:00.000000000, 209692228
2017-11-29, 06:50:35.000000000, 209698840
2017-11-29, 07:18:58.000000000, 209700134
2017-11-29, 07:48:16.000000000, 209698199
2017-11-29, 08:20:39.000000000, 209750017
2017-11-29, 08:46:52.000000000, 209760778
2017-11-29, 09:13:16.000000000, 209743950
2017-11-29, 09:39:52.000000000, 209696342
2017-11-29, 10:12:49.000000000, 209742997
2017-11-29, 10:39:53.000000000, 209734142
2017-11-29, 11:05:51.000000000, 209747843
2017-11-29, 11:31:56.000000000, 209733448
2017-11-29, 11:58:23.000000000, 209744745
2017-11-29, 12:24:22.000000000, 209746698
2017-11-29, 12:50:11.000000000, 209755006
2017-11-29, 13:15:39.000000000, 209753471
2017-11-29, 13:41:25.000000000, 209741620
2017-11-29, 14:07:16.000000000, 209754517
2017-11-29, 14:33:25.000000000, 209743460
2017-11-29, 15:00:00.000000000, 209726236
2017-11-29, 15:26:38.000000000, 209753136
2017-11-29, 15:53:14.000000000, 209765889
2017-11-29, 16:19:38.000000000, 209696320
2017-11-29, 16:46:13.000000000, 209745302
2017-11-29, 17:12:30.000000000, 209746221
2017-11-29, 17:39:33.000000000, 209725396
2017-11-29, 18:05:43.000000000, 209778386
2017-11-29, 18:31:59.000000000, 209718342
2017-11-29, 18:58:47.000000000, 209727726
2017-11-29, 19:24:06.000000000, 209763428
2017-11-29, 19:49:13.000000000, 209773283
2017-11-29, 20:14:24.000000000, 209777521
2017-11-29, 20:39:30.000000000, 209781245
2017-11-29, 21:04:24.000000000, 209777209
2017-11-29, 21:29:27.000000000, 209784384
2017-11-29, 21:54:56.000000000, 209766754
2017-11-29, 22:20:27.000000000, 209775416
2017-11-29, 22:47:59.000000000, 209770294
2017-11-29, 23:13:29.000000000, 209771968
2017-11-29, 23:39:45.000000000, 209705145
2017-11-30, 00:07:28.000000000, 209786535
2017-11-30, 00:32:44.000000000, 209778620
2017-11-30, 00:57:44.000000000, 209781043
2017-11-30, 01:22:54.000000000, 209767132
2017-11-30, 01:47:48.000000000, 209780708
2017-11-30, 02:13:26.000000000, 209761367
2017-11-30, 02:38:52.000000000, 209702227
2017-11-30, 03:04:38.000000000, 209776985
2017-11-30, 03:30:12.000000000, 209791606
2017-11-30, 03:55:31.000000000, 209790327
2017-11-30, 04:20:40.000000000, 209794382
2017-11-30, 04:45:53.000000000, 209788206
2017-11-30, 05:11:11.000000000, 209784155
2017-11-30, 05:36:30.000000000, 209774462
2017-11-30, 06:01:58.000000000, 209782756
2017-11-30, 06:27:12.000000000, 209791081
2017-11-30, 06:52:18.000000000, 209778640
2017-11-30, 07:17:45.000000000, 209781389
2017-11-30, 07:43:03.000000000, 209782506
2017-11-30, 08:08:24.000000000, 209762210
2017-11-30, 08:33:47.000000000, 209763031
2017-11-30, 08:59:04.000000000, 209789005
2017-11-30, 09:24:21.000000000, 209789097
2017-11-30, 09:49:36.000000000, 209784251
2017-11-30, 10:15:03.000000000, 209778921
2017-11-30, 10:40:22.000000000, 209788627
2017-11-30, 11:07:20.000000000, 209795382
2017-11-30, 11:33:59.000000000, 209708228
2017-11-30, 12:01:51.000000000, 209733143
2017-11-30, 12:28:58.000000000, 209736971
2017-11-30, 12:56:22.000000000, 209745748
2017-11-30, 13:23:14.000000000, 209767308
2017-11-30, 13:50:38.000000000, 209738696
2017-11-30, 14:16:24.000000000, 209777857
2017-11-30, 14:42:20.000000000, 209772471
2017-11-30, 15:07:37.000000000, 209766330
2017-11-30, 15:32:59.000000000, 209788738
2017-11-30, 15:59:27.000000000, 209745611
2017-11-30, 16:27:35.000000000, 209774038
2017-11-30, 16:57:55.000000000, 209707619
2017-11-30, 17:27:43.000000000, 209707404
2017-11-30, 17:54:26.000000000, 209796982
2017-11-30, 18:21:18.000000000, 209769157
2017-11-30, 18:48:47.000000000, 209718011
2017-11-30, 19:16:04.000000000, 209727736
2017-11-30, 19:43:41.000000000, 209756730
2017-11-30, 20:13:21.000000000, 209730733
2017-11-30, 20:40:39.000000000, 209750576
2017-11-30, 21:06:24.000000000, 209788215
2017-11-30, 21:32:15.000000000, 209748669
2017-11-30, 21:59:45.000000000, 209794510
2017-11-30, 22:15:01.000000000, 151320320
