Date, Time, Bytes
2017-12-01, 22:54:20.000000000, 209761482
2017-12-01, 22:56:10.000000000, 209714855
2017-12-01, 22:57:45.000000000, 209728735
2017-12-01, 22:59:16.000000000, 209766254
2017-12-01, 23:01:37.000000000, 209709854
2017-12-01, 23:09:09.000000000, 209701940
2017-12-01, 23:16:18.000000000, 209706141
2017-12-01, 23:23:15.000000000, 209680927
2017-12-01, 23:29:09.000000000, 209694111
2017-12-01, 23:33:42.000000000, 209691222
2017-12-01, 23:38:35.000000000, 209694042
2017-12-01, 23:44:49.000000000, 209689929
2017-12-01, 23:49:19.000000000, 209725552
2017-12-01, 23:54:06.000000000, 209693222
2017-12-01, 23:58:36.000000000, 209694115
2017-12-02, 00:02:46.000000000, 209694379
2017-12-02, 00:07:20.000000000, 209703880
2017-12-02, 00:15:46.000000000, 209730726
2017-12-02, 00:17:38.000000000, 209683083
2017-12-02, 00:19:54.000000000, 209754439
2017-12-02, 00:22:10.000000000, 209698531
2017-12-02, 00:29:48.000000000, 209686212
2017-12-02, 00:34:15.000000000, 209759196
2017-12-02, 00:36:24.000000000, 209743334
2017-12-02, 00:38:06.000000000, 209744386
2017-12-02, 00:39:52.000000000, 209746932
2017-12-02, 00:41:37.000000000, 209716236
2017-12-02, 00:43:09.000000000, 209741930
2017-12-02, 00:44:40.000000000, 209754140
2017-12-02, 00:46:05.000000000, 209745623
2017-12-02, 00:47:34.000000000, 209750552
2017-12-02, 00:49:20.000000000, 209752513
2017-12-02, 00:51:12.000000000, 209750347
2017-12-02, 00:53:33.000000000, 209741765
2017-12-02, 00:55:44.000000000, 209770656
2017-12-02, 00:57:59.000000000, 209748419
2017-12-02, 01:00:23.000000000, 209765867
2017-12-02, 01:02:19.000000000, 209760901
2017-12-02, 01:04:50.000000000, 209718570
2017-12-02, 01:06:44.000000000, 209800381
2017-12-02, 01:08:31.000000000, 209709001
2017-12-02, 01:10:42.000000000, 209721043
2017-12-02, 01:11:57.000000000, 209785245
2017-12-02, 01:13:03.000000000, 209758704
2017-12-02, 01:14:34.000000000, 209738039
2017-12-02, 01:15:55.000000000, 209761438
2017-12-02, 01:17:01.000000000, 209788244
2017-12-02, 01:18:05.000000000, 209740655
2017-12-02, 01:19:18.000000000, 209773737
2017-12-02, 01:20:37.000000000, 209763831
2017-12-02, 01:23:22.000000000, 209722522
2017-12-02, 01:25:01.000000000, 209780961
2017-12-02, 01:27:02.000000000, 209715645
2017-12-02, 01:29:43.000000000, 209767826
2017-12-02, 01:31:17.000000000, 209782958
2017-12-02, 01:32:23.000000000, 209773415
2017-12-02, 01:33:33.000000000, 209770066
2017-12-02, 01:34:42.000000000, 209784132
2017-12-02, 01:35:51.000000000, 209765712
2017-12-02, 01:37:37.000000000, 209763261
2017-12-02, 01:39:13.000000000, 209778812
2017-12-02, 01:40:28.000000000, 209768771
2017-12-02, 01:41:33.000000000, 209782390
2017-12-02, 01:42:42.000000000, 209786133
2017-12-02, 01:43:50.000000000, 209788001
2017-12-02, 01:45:07.000000000, 209784740
2017-12-02, 01:46:13.000000000, 209775546
2017-12-02, 01:47:30.000000000, 209782811
2017-12-02, 01:48:35.000000000, 209782492
2017-12-02, 01:49:42.000000000, 209786603
2017-12-02, 01:50:49.000000000, 209781037
2017-12-02, 01:51:56.000000000, 209783554
2017-12-02, 01:52:58.000000000, 209773242
2017-12-02, 01:54:06.000000000, 209764069
2017-12-02, 01:55:09.000000000, 209781022
2017-12-02, 01:56:16.000000000, 209780648
2017-12-02, 01:57:22.000000000, 209784564
2017-12-02, 01:58:29.000000000, 209785517
2017-12-02, 01:59:55.000000000, 209747124
2017-12-02, 02:02:10.000000000, 209716627
2017-12-02, 02:04:29.000000000, 209728049
2017-12-02, 02:07:18.000000000, 209706045
2017-12-02, 02:09:59.000000000, 209730484
2017-12-02, 02:12:24.000000000, 209725833
2017-12-02, 02:14:48.000000000, 209759906
2017-12-02, 02:17:35.000000000, 209767076
2017-12-02, 02:19:02.000000000, 209784912
2017-12-02, 02:20:18.000000000, 209774796
2017-12-02, 02:21:28.000000000, 209784504
2017-12-02, 02:22:44.000000000, 209764436
2017-12-02, 02:24:32.000000000, 209737995
2017-12-02, 02:27:26.000000000, 209680546
2017-12-02, 02:32:44.000000000, 209698565
2017-12-02, 02:38:16.000000000, 209703207
2017-12-02, 02:41:04.000000000, 209726897
2017-12-02, 02:43:25.000000000, 209693140
2017-12-02, 02:46:14.000000000, 209709121
2017-12-02, 02:49:14.000000000, 209729322
2017-12-02, 02:52:20.000000000, 209712512
2017-12-02, 02:57:25.000000000, 209729654
2017-12-02, 03:00:54.000000000, 209769944
2017-12-02, 03:02:33.000000000, 209766564
2017-12-02, 03:04:00.000000000, 209720423
2017-12-02, 03:07:03.000000000, 209780157
2017-12-02, 03:09:24.000000000, 160936609
